Product Name,Code,Model 1,Model 2,Model 3,Model 4,Model 5,Model 6,Model 7,Model 8,Model 9,Model 10,Model 11,Model 12,,
Brother,CBRO-LC3019C,MFC-J5330DW,MFC-J6530DW,MFC-J6730DW,MFC-J6930DW,,,,,,,,,,
Brother,CBRO-LC3019C-PT,MFC-J5330DW,MFC-J6530DW,MFC-J6730DW,MFC-J6930DW,,,,,,,,,,
Brother,CBRO-LC3019K-PT,MFC-J5330DW,MFC-J6530DW,MFC-J6730DW,MFC-J6930DW,,,,,,,,,,
Brother,CBRO-LC3019M,MFC-J5330DW,MFC-J6530DW,MFC-J6730DW,MFC-J6930DW,,,,,,,,,,
Brother,CBRO-LC3019M-PT,MFC-J5330DW,MFC-J6530DW,MFC-J6730DW,MFC-J6930DW,,,,,,,,,,
Brother,CBRO-LC3019Y,MFC-J5330DW,MFC-J6530DW,MFC-J6730DW,MFC-J6930DW,,,,,,,,,,
Brother,CBRO-LC3019Y-PT,MFC-J5330DW,MFC-J6530DW,MFC-J6730DW,MFC-J6930DW,,,,,,,,,,
Brother,CBRO-LC3029BK,J5830DW,J5930DW,J6535DW,J6935DW,,,,,,,,,,
Brother,CBRO-LC3029C,J5830DW,J5930DW,J6535DW,J6935DW,,,,,,,,,,
Brother,CBRO-LC3029C-PT,J5830DW,J5930DW,J6535DW,J6935DW,,,,,,,,,,
Brother,CBRO-LC3029K-PT,J5830DW,J5930DW,J6535DW,J6935DW,,,,,,,,,,
Brother,CBRO-LC3029M,J5830DW,J5930DW,J6535DW,J6935DW,,,,,,,,,,
Brother,CBRO-LC3029M-PT,J5830DW,J5930DW,J6535DW,J6935DW,,,,,,,,,,
Brother,CBRO-LC3029Y,J5830DW,J5930DW,J6535DW,J6935DW,,,,,,,,,,
Brother,CBRO-LC3029Y-PT,J5830DW,J5930DW,J6535DW,J6935DW,,,,,,,,,,
Brother,CBRO-LC3035BK,MFC-J995DW ,,,,,,,,,,,,,
Brother,CBRO-LC3035C,MFC-J995DW ,,,,,,,,,,,,,
Brother,CBRO-LC3035C-PT,MFC-J995DW ,,,,,,,,,,,,,
Brother,CBRO-LC3035K-PT,MFC-J995DW ,,,,,,,,,,,,,
Brother,CBRO-LC3035M,MFC-J995DW ,,,,,,,,,,,,,
Brother,CBRO-LC3035M-PT,MFC-J995DW ,,,,,,,,,,,,,
Brother,CBRO-LC3035Y,MFC-J995DW ,,,,,,,,,,,,,
Brother,CBRO-LC3035Y-PT,MFC-J995DW ,,,,,,,,,,,,,
Brother,CBRO-LC3039BK,MFC-J5845DW,MFC-J5945DW,MFC-J6545DW,MFC-J6545DW XL,MFC-J6945DW,,,,,,,,,
Brother,CBRO-LC3039C,MFC-J5845DW,MFC-J5945DW,MFC-J6545DW,MFC-J6545DW XL,MFC-J6945DW,,,,,,,,,
